id,img_num,number_of_houses
0,1000000000611.jpg,9
1,1000000000530.jpg,10
2,1000000002787.jpg,10
3,1000000000049.jpg,2
4,1000000001883.jpg,9
5,1000000001011.jpg,3
6,1000000000858.jpg,11
7,1000000001017.jpg,2
8,1000000000048.jpg,12
9,1000000000719.jpg,6
10,1000000002390.jpg,16
11,1000000002652.jpg,2
12,1000000002246.jpg,10
13,1000000001159.jpg,17
14,1000000000632.jpg,1
15,1000000001338.jpg,15
16,1000000002127.jpg,1
17,1000000002602.jpg,10
18,1000000001436.jpg,4
19,1000000000025.jpg,7
20,1000000002965.jpg,10
21,1000000000219.jpg,4
22,1000000002818.jpg,10
23,1000000000276.jpg,1
24,1000000002157.jpg,15
25,1000000001480.jpg,8
26,1000000001235.jpg,8
27,1000000001593.jpg,15
28,1000000000999.jpg,6
29,1000000002140.jpg,1
30,1000000000361.jpg,21
31,1000000001457.jpg,17
32,1000000001993.jpg,15
33,1000000001671.jpg,4
34,1000000002334.jpg,12
35,1000000001650.jpg,4
36,1000000001835.jpg,3
37,1000000001114.jpg,1
38,1000000001846.jpg,14
39,1000000001317.jpg,11
40,1000000002629.jpg,11
41,1000000000297.jpg,13
42,1000000001313.jpg,4
43,1000000000937.jpg,14
44,1000000000240.jpg,15
45,1000000001432.jpg,12
46,1000000000582.jpg,12
47,1000000002906.jpg,5
48,1000000001954.jpg,14
49,1000000001334.jpg,12
50,1000000001729.jpg,16
51,1000000001672.jpg,15
52,1000000000350.jpg,12
53,1000000002745.jpg,5
54,1000000001220.jpg,16
55,1000000000349.jpg,16
56,1000000001518.jpg,14
57,1000000002547.jpg,5
58,1000000000643.jpg,1
59,1000000002835.jpg,11
60,1000000000944.jpg,11
61,1000000001462.jpg,4
62,1000000000657.jpg,10
63,1000000002702.jpg,13
64,1000000002893.jpg,6
65,1000000001236.jpg,13
66,1000000002467.jpg,4
67,1000000000647.jpg,10
68,1000000001125.jpg,11
69,1000000001110.jpg,3
70,1000000002650.jpg,1
71,1000000001940.jpg,13
72,1000000000538.jpg,2
73,1000000001048.jpg,7
74,1000000002983.jpg,6
75,1000000002375.jpg,16
76,1000000002209.jpg,5
77,1000000002338.jpg,11
78,1000000002162.jpg,1
79,1000000000801.jpg,12
80,1000000000786.jpg,11
81,1000000002694.jpg,5
